name,Percentage of positive rating(Recent Review),Percentage of positive rating
DOOM,89,92
Devil May Cry 5,87,92
Human: Fall Flat,91,91
They Are Billions,83,85
For The King,80,83
Danganronpa V3: Killing Harmony,82,84
Clone Drone in the Danger Zone,94,94
Halo Wars: Definitive Edition,82,88
Phoenix Wright: Ace Attorney Trilogy,95,97
Viscera Cleanup Detail,91,92
Hellblade: Senua's Sacrifice,91,91
Yakuza 0,93,87
"Star Wars: Battlefront 2 (Classic, 2005)",91,91
Kingdoms of Amalur: Reckoning™,88,87
STAR WARS™ Empire at War - Gold Pack,97,94
Dishonored®: Death of the Outsider™,92,82
The Witcher: Enhanced Edition Director's Cut,82,85
Pillars of Eternity,85,84
Total War: MEDIEVAL II – Definitive Edition,86,93
Tales of Vesperia: Definitive Edition,80,86
